STAID,GEOL_REEDBUSH_DOM,GEOL_REEDBUSH_DOM_PCT,GEOL_HUNT_DOM_DESC,STREAMS_KM_SQ_KM,STRAHLER_MAX,MAINSTEM_SINUOUSITY,HIRES_LENTIC_PCT,BFI_AVE,PERDUN,PERHOR,TOPWET,CONTACT,RUNAVE7100,PPTAVG_BASIN,T_AVG_BASIN,PET,SNOW_PCT_PRECIP,PRECIP_SEAS_IND,BAS_COMPACTNESS,LAT_CENT,LONG_CENT,DIVISION.x,PROVINCE.x,SECTION.x,STANAME,DRAIN_SQKM.x,LAT_GAGE.x,LNG_GAGE.x,STATE.x,geometry.x,HGA,HGB,HGAD,HGC,HGD,HGAC,HGBD,HGCD,HGBC,HGVAR,AWCAVE,PERMAVE,BDAVE,OMAVE,WTDEPAVE,ROCKDEPAVE,NO4AVE,NO200AVE,NO10AVE,CLAYAVE,SILTAVE,SANDAVE,KFACT_UP,RFACT,X26,ELEV_MEAN_M_BASIN,ELEV_MAX_M_BASIN,ELEV_MIN_M_BASIN,ELEV_MEDIAN_M_BASIN,ELEV_STD_M_BASIN,ELEV_SITE_M,RRMEAN,RRMEDIAN,SLOPE_PCT,ASPECT_DEGREES,ASPECT_NORTHNESS,ASPECT_EASTNESS,DEVNLCD06,FORESTNLCD06,PLANTNLCD06,WATERNLCD06,SNOWICENLCD06,DEVOPENNLCD06,DEVLOWNLCD06,DEVMEDNLCD06,DEVHINLCD06,BARRENNLCD06,DECIDNLCD06,EVERGRNLCD06,MIXEDFORNLCD06,SHRUBNLCD06,GRASSNLCD06,PASTURENLCD06,CROPSNLCD06,WOODYWETNLCD06,EMERGWETNLCD06,RIP100_DEV,RIP100_FOREST,RIP100_PLANT,RIP100_11,RIP100_12,RIP100_21,RIP100_22,RIP100_23,RIP100_24,RIP100_31,RIP100_41,RIP100_42,RIP100_43,RIP100_52,RIP100_71,RIP100_81,RIP100_82,RIP100_90,RIP100_95,Flashiness,Mean.x,NinetiethP.x,TenthP.x,gauge_id,soil_depth_pelletier,soil_depth_statsgo,soil_porosity,soil_conductivity,max_water_content,sand_frac,silt_frac,clay_frac,water_frac,organic_frac,other_frac,geol_1st_class,glim_1st_class_frac,geol_2nd_class,glim_2nd_class_frac,carbonate_rocks_frac,geol_porostiy,geol_permeability,ParentMaterial,RestrictDepth,PercentResid,VarB,aridity,runoff_ratio,slope_fdc,stream_elas,...1,Mean.y,Median,StandardDeviation,IQR,TenthP.y,NinetiethP.y,Count,DIVISION.y,PROVINCE.y,SECTION.y,station_nm,DRAIN_SQKM.y,huc_cd,LAT_GAGE.y,LNG_GAGE.y,STATE.y,alt_va,geometry.y
01439500,sedimentary,100,"Till, or ground moraine",0.66,4,1.94,2.59,48,3.1,6.8,11.92,241.3,636.7,121.66,8.03,598.6,26.6,0.052,1.62,41.21327,-75.099078,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bush Kill at Shoemakers, PA",305.8776,41.088151,-75.037675,PA,"c(-75.0376746898351, 41.0881507798347)",4.43,5.99,0,82.3,4.72,0,1.77,0.78,0,0,0.11,1.68,1.44,0.9,2.7,56.34,71.03,42.41,63.62,16.09,50.71,33.2,0.23,136.93,NA,387,619,130,393,70.8,130,0.526,0.538,6,147.7,-0.846,0.534,4.57,81.33,0.04,2.24,0,4.19,0.33,0.05,0.01,0.15,77.53,0.28,3.52,2.35,0.23,0.04,0,8.34,0.74,2.28,69.51,0.03,6.15,0,2.04,0.21,0.02,0,0.1,62.11,0.71,6.69,1.28,0.07,0.03,0,17.83,2.75,0.18873560698104383,1.95539157444607,4.2239640954421,0.223998095970414,1439500,3.073770492,1.500000015,0.441740259,1.659095312,0.631275354,40.97317987,45.34151532,13.72385169,0,0,0,Siliciclastic sedimentary rocks,0.998798736,Mixed sedimentary rocks,0.001201264,0,0.1848,-15.2772,Till,66,2.89646509302e-4,0.4210194001625746,0.636544584519553,0.550426939143426,1.67374702409105,1.16053667283065,1,244.42602445925,161,284.154734101232,227,28,528,10957,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bush Kill at Shoemakers, PA",305.8776,02040104,41.088151,-75.037675,PA,421.13,"c(1732869.836, 2200757.1598)"
01440000,sedimentary,100,"Gravel, sand and clay deposited by glacial streams adjacent to or downstream from temporary ice fronts",0.88,3,1.25,1.44,49.8,2.1,2.6,11.2,121.6,636,120.09,8.92,637,23.7,0.066,1.44,41.212771,-74.795754,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,FLAT BROOK NEAR FLATBROOKVILLE NJ,167.7204,41.106667,-74.952222,NJ,"c(-74.9522221998945, 41.1066666696311)",6.33,16.19,2.43,48.38,23.68,0,1.98,1.01,0,0,0.11,2.91,1.39,2.69,3.46,52.3,68.96,37.84,60.7,14.12,48.15,37.73,0.22,142.37,NA,274.4,501,107,275,84.3,109,0.425,0.426,9.4,270.5,0.009,-1,3.17,78.6,6.18,0.86,0,3,0.15,0.03,0,0,58.19,1.37,19.03,0.27,0.11,2.26,3.92,10.72,0.09,4.01,66.12,5.7,2.42,0,3.69,0.26,0.06,0,0,47.51,1.7,16.9,0.29,0.07,2.37,3.33,21.28,0.11,0.2789637250726417,1.72836605401,3.54531112494366,0.248025881168898,1440000,4.186131387,1.500000015,0.440099538,1.74997097,0.501852732,32.95325403,33.66724948,11.14054718,0,0.171201351,21.43907993,Siliciclastic sedimentary rocks,0.84416667,Carbonate sedimentary rocks,0.149521985,0.149521985,0.1826,-14.227,Till,53,0,0.3615206496786784,0.660024329042491,0.506237971462614,1.64802817461977,0.95312010851275,2,118.464342429497,78,155.957635626953,105.1,17,243,10957,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,Flat Brook near Flatbrookville NJ,167.7204,02040104,41.106667,-74.952222,NJ,347.73,"c(1739362.7953, 2204340.9436)"
01451800,sedimentary,100,"Till, or ground moraine",0.64,3,2.12,0.23,53.4,3.2,1.9,12.09,89.4,722.4,124.32,10.19,681.4,21,0.054,1.52,40.661793,-75.689734,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Jordan Creek near Schnecksville, PA",135.8448,40.661762,-75.626854,PA,"c(-75.6268539999121, 40.6617621896734)",0.69,14.01,0,51.4,3.87,0,30.02,0,0,0,0.09,3.18,1.38,0.91,5.2,34.69,60.74,38.96,54.2,19.38,52.54,28.09,0.24,153.2,NA,204.3,475,119,204,32,119,0.24,0.239,7.6,136.3,-0.722,0.691,10.65,29.58,59.23,0.27,0,7.7,2.59,0.33,0.04,0.02,28.92,0.35,0.31,0,0,32.37,26.87,0.22,0.02,15.32,43.99,38.57,0.93,0,11.78,3.33,0.22,0,0,42.62,0.46,0.91,0,0,25.99,12.58,1.14,0.05,0.3597400289978895,1.72876148035008,3.83681230345218,0.198145236328516,1451800,1.037037037,0.827833239,0.452859,1.243021587,0.361222122,32.12866245,50.37412197,17.61702514,0,0,0,Siliciclastic sedimentary rocks,0.99718807,Carbonate sedimentary rocks,0.00281193,0.00281193,0.134,-16.2182,Residuum,46,0.485285133735281,0.38584815933261907,0.690467501571846,0.502370836246927,1.58160098037788,1.54839718163361,3,95.9719074564206,50,156.170614606141,82,11,213,10957,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Jordan Creek near Schnecksville, PA",135.8448,02040106,40.661762,-75.626854,PA,380.48,"c(1695082.452, 2143506.4684)"
01516500,sedimentary,100,"Till, or ground moraine",0.67,2,1.27,0.62,35,2,2.4,10.8,119.3,380,93.82,7.59,584.9,26.4,0.133,2.28,41.769262,-76.969751,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Corey Creek near Mainesburg, PA",31.4838,41.790907,-77.014688,PA,"c(-77.0146877301546, 41.7909074595117)",0,0,0,97.24,2.76,0,0,0,0,0,0.12,1.11,1.4,1.31,2.93,51.63,69.76,46.26,61.78,18.27,56.52,25.21,0.24,79.83,NA,536,746,408,515,79.3,410,0.379,0.317,11.5,286.3,0.28,-0.96,5.43,45.84,47.84,0.3,0,5.17,0.22,0.04,0,0.02,33.1,2.4,10.35,0.43,0,29.75,18.1,0.06,0.08,11.24,32.58,55.92,0,0,10.35,0.8,0.1,0,0,25.7,2.03,4.86,0.26,0,31.19,24.72,0,0,0.480260803669602,0.98792837920896,2.17623031527325,0.0443018314180626,1516500,4.886792453,1.500000015,0.456920273,1.197002775,0.656231956,29.82002113,54.708243,15.50080225,0,0,0,Siliciclastic sedimentary rocks,1,NA,0,0,0.1734,-15.4207,Till,55,0,0.5967713265463411,0.712019857879042,0.323373524799016,1.62471008061911,1.20138366307422,4,12.7109683307475,5,31.3310685913364,11.5,0.57,28,10957,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Corey Creek near Mainesburg, PA",31.4838,02050104,41.790907,-77.014688,PA,1337.05,"c(1556124.3107, 2243476.8174)"
01539000,sedimentary,100,Sandy and stony colluvium derived mostly from sandstone and shale,0.75,5,1.83,0.47,40.8,2.8,5.8,11.25,85,572.4,117.14,8.33,615.2,23.5,0.089,1.59,41.237086,-76.342079,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Fishing Creek near Bloomsburg, PA",701.7795,41.078141,-76.431056,PA,"c(-76.4310555104034, 41.0781411797717)",3.14,8.04,0,77.61,2.87,0,5.58,2.76,0,0,0.11,1.86,1.42,1.05,3.41,49.76,69.06,44.26,61.5,17.9,54.14,27.96,0.25,118.7,NA,401.7,784,168,354,158.2,168,0.379,0.302,12.7,154.2,-0.9,0.436,4.44,65.94,27.03,0.35,0,4.1,0.28,0.05,0,0.02,33.56,8.15,24.24,1.5,0.32,18.32,8.72,0.16,0.24,6.16,68.08,22.36,0.71,0,5.62,0.45,0.09,0.01,0,24.34,13.03,30.71,1.32,0.21,16.09,6.27,0.37,0.8,0.30164819746384525,1.71690973866391,3.59145572077839,0.209211012860877,1539000,4.596067918,1.389538963,0.45257333,1.281931465,0.60943962,32.84689658,51.61984967,15.63264112,0.100697825,0,0,Siliciclastic sedimentary rocks,1,NA,0,0,0.1661,-15.5264,Till,76,0.225465141180975,0.3724514755958702,0.689397292241646,0.519507507471259,1.6869765430393,1.40648448631555,5,492.395610112257,292,749.60387720805,442,60,1030,10957,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Fishing Creek near Bloomsburg, PA",701.7795,02050107,41.078141,-76.431056,PA,543.84,"c(1619605.8865, 2175084.2697)"
01542810,sedimentary,100,Sandy and stony colluvium derived mostly from sandstone and shale,0.87,2,1.23,0,38.6,2.2,1.5,11.62,9.2,609.4,109.92,7.56,580.8,26,0.11,2.02,41.611544,-78.288275,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,KANAWHA,"Waldy Run near Emporium, PA",13.6242,41.578952,-78.292512,PA,"c(-78.292512140223, 41.5789522494468)",0,57.22,0,42.46,0,0,0.31,0,0,0,0.1,3.08,1.44,0.53,4.08,52.93,76.48,48.3,65.48,21.91,52.09,25.99,0.25,101.43,NA,561.3,734,385,569,65.3,385,0.505,0.527,19.9,200.7,-0.935,-0.354,0.43,95.47,0.95,0,0,0.43,0,0,0,0,88.02,1.09,6.36,2.6,0.55,0.92,0.03,0,0,1.38,95.89,1.09,0,0,1.38,0,0,0,0,86.01,2.33,7.56,1.64,0,1.09,0,0,0,0.4361831953962363,1.58829637202763,3.61009820760118,0.0808230942000264,1542810,0.96,1.500000015,0.454815419,1.196305738,0.67067382,31.01812599,52.40065993,16.59146541,0,0,0,Siliciclastic sedimentary rocks,1,NA,0,0,0.1953,-15.0206,Residuum,117,0.424296472453426,0.5034929890949225,0.662887974635193,0.467258394194627,1.667859602496,1.41962584997273,6,8.84318244044903,3.8,16.9322030908151,7.9,0.45,20.1,10957,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,KANAWHA,"Waldy Run near Emporium, PA",13.6242,02050202,41.578952,-78.292512,PA,1263.62,"c(1457041.2756, 2199940.7922)"
01543000,sedimentary,100,Sandy and stony colluvium derived mostly from sandstone and shale,0.87,5,1.4,0.03,39.3,3,2.6,11.97,18.6,609.4,110.32,7.76,587.7,26.1,0.107,1.47,41.542175,-78.297474,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,KANAWHA,"Driftwood Br Sinnemahoning Cr at Sterling Run, PA",705.4974,41.413396,-78.196952,PA,"c(-78.1969523802481, 41.4133959298783)",0,53.53,0,46.3,0,0,0.17,0,0,0,0.1,2.84,1.44,0.52,3.91,53.21,76.09,47.71,64.47,22.41,51.73,25.86,0.24,102.94,NA,529.9,744,268,538,85.3,275,0.55,0.567,20.5,171.8,-0.99,0.142,1.59,89.48,2.73,0.04,0,1.17,0.28,0.12,0.02,0.16,72.11,4.25,13.12,4.65,0.6,2.59,0.13,0.6,0.16,3.62,84.51,3.15,0.16,0,2.8,0.58,0.19,0.04,0.05,64.38,7.02,13.1,5.1,0.3,3.01,0.14,2.46,0.67,0.3245153107628364,1.62617478617529,3.7806376040507,0.107522720849148,1543000,0.992888889,1.500000015,0.450639311,1.301087878,0.662028871,33.93708536,49.34594433,16.6757513,0,0,0,Siliciclastic sedimentary rocks,1,NA,0,0,0.2067,-14.6131,Residuum,117,0.616151303305578,0.48240828884121933,0.671582210369935,0.486116606363887,1.7344986483274,1.93780367076782,7,468.844333302911,236,756.321497148704,456.8,31,1090,10957,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,KANAWHA,"Driftwood Br Sinnemahoning Cr at Sterling Run, PA",705.4974,02050202,41.413396,-78.196952,PA,894.84,"c(1468263.3415, 2183204.367)"
01543500,sedimentary,100,Sandy and stony colluvium derived mostly from sandstone and shale,0.83,6,1.51,0.04,40.3,3.2,2.5,11.94,25.1,609.6,109.6,7.93,593.1,25.4,0.1,1.39,41.403714,-78.358797,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Sinnemahoning Creek at Sinnemahoning, PA",1778.258,41.317285,-78.10306,PA,"c(-78.1030595694435, 41.3172846696518)",0.46,47.87,0,51,0.44,0,0.23,0,0,0,0.1,3.04,1.43,0.52,3.87,52.3,76.45,48.32,65.55,22.19,51.61,26.2,0.24,105.42,NA,521.9,744,231,529,90.4,231,0.567,0.581,18.3,178.4,-1,0.029,1.48,89.18,2.76,0.08,0,1.17,0.22,0.07,0.01,0.28,66.74,6.3,16.14,4.55,0.8,2.52,0.24,0.6,0.27,2.97,86.15,2.14,0.37,0,2.37,0.44,0.13,0.02,0.08,59.17,10.51,16.47,4.21,0.47,1.98,0.16,2.44,1.16,0.2942940421470273,1.61823117794007,3.70161697571444,0.114213460588958,1543500,1.020021452,1.455897777,0.448123663,1.353188264,0.635270959,35.59339992,47.29924085,17.11813287,0,0,0,Siliciclastic sedimentary rocks,1,NA,0,0,0.2146,-14.3537,Residuum,117,0.655553490550898,0.4696056678448196,0.669983479391203,0.478316788526037,1.79669094630527,2.05031436983567,8,1175.98387332299,647,1721.8211904138,1162,83,2690,10957,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Sinnemahoning Creek at Sinnemahoning, PA",1778.258,02050202,41.317285,-78.10306,PA,769.36,"c(1477929.5222, 2174090.5307)"
01544500,sedimentary,100,Sandy and stony colluvium derived mostly from sandstone and shale,0.81,4,1.29,0.01,39.7,1.9,1.5,11.66,16,589.3,106.34,7.23,570.7,26.4,0.101,2.22,41.588214,-77.71912,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Kettle Creek at Cross Fork, PA",355.0644,41.475899,-77.825825,PA,"c(-77.8258251297259, 41.4758993993378)",0.73,50.78,0,47.99,0,0,0.5,0,0,0,0.11,4.01,1.4,0.53,4.15,51.29,76.69,47.26,66.46,20.31,50.88,28.8,0.24,94.53,NA,576.2,759,313,590,85.6,315,0.59,0.621,21.1,180.6,-1,-0.011,0.9,88.33,6.84,0,0,0.88,0.02,0,0,0.01,72.46,1.55,14.31,3.17,0.64,6.52,0.32,0.03,0.07,2.75,85.98,7.39,0,0,2.68,0.07,0.01,0,0,63.77,3.37,18.84,2.8,0.55,7.11,0.28,0.17,0.35,0.2568071953997627,1.5952843206513,3.5905796244287,0.124050735584869,1544500,0.951807229,1.460438896,0.446212022,1.399198454,0.627939123,36.29208259,45.67738582,16.51665322,0,0,1.546873928,Siliciclastic sedimentary rocks,1,NA,0,0,0.1897,-15.1862,Till,74,0.27783037905922,0.44056009338093655,0.681041146480069,0.485865266892819,1.76324322488628,1.03998874656978,9,231.478819019805,125,360.494274412308,219,18,521,10957,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Kettle Creek at Cross Fork, PA",355.0644,02050203,41.475899,-77.825825,PA,1027.12,"c(1497171.2271, 2195865.7562)"
01545600,sedimentary,100,Sandy and stony colluvium derived mostly from sandstone and shale,0.53,3,1.22,0.01,42.5,2,0.9,11.65,12.6,588.5,105.66,7.39,575.6,26.2,0.102,2.07,41.467002,-77.638163,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Young Womans Creek near Renovo, PA",119.9975,41.389512,-77.690819,PA,"c(-77.6908190993219, 41.38951168012)",19.35,46.85,0,33.78,0,0,0.02,0,0,0,0.1,7.01,1.38,0.59,4.76,45.97,71.28,39.36,60.72,17.42,47.34,35.24,0.19,102.4,NA,554.7,690,239,583,83.2,239,0.7,0.763,18.3,198,-0.951,-0.309,0.37,96.97,0.59,0,0,0.36,0.01,0,0,0.02,57.05,2.31,37.61,1.84,0.16,0.58,0.02,0.03,0.01,0.74,97.08,0.03,0,0,0.74,0,0,0,0,53.02,5.88,38.18,1.85,0,0.03,0,0.25,0.05,0.21084158253121063,1.46897811825249,3.30351882330882,0.118274130711056,1545600,0.970149254,1.495415464,0.432630012,1.88470305,0.629820622,46.61053372,36.89636324,16.31277943,0,0,0.183382031,Siliciclastic sedimentary rocks,1,NA,0,0,0.2206,-14.1559,Colluvium,66,0.513915575837638,0.4680682792309741,0.678972097109243,0.448479056936079,1.75019160883107,1.06958327839606,10,72.0366578443004,42,105.550672853703,71,5.8,162,10957,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Young Womans Creek near Renovo, PA",119.9975,02050203,41.389512,-77.690819,PA,780.41,"c(1510006.8813, 2188509.9509)"
