site_no,Flashiness,DIVISION,PROVINCE,SECTION,station_nm,DRAIN_SQKM,huc_cd,LAT_GAGE,LNG_GAGE,STATE,alt_va,geometry
01439500,0.18873560698104386,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bush Kill at Shoemakers, PA",305.8776,02040104,41.088151,-75.037675,PA,421.13,"c(1732869.836, 2200757.1598)"
01440000,0.2789637250726417,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,Flat Brook near Flatbrookville NJ,167.7204,02040104,41.106667,-74.952222,NJ,347.73,"c(1739362.7953, 2204340.9436)"
01451800,0.3597400289978895,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Jordan Creek near Schnecksville, PA",135.8448,02040106,40.661762,-75.626854,PA,380.48,"c(1695082.452, 2143506.4684)"
01516500,0.480260803669602,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Corey Creek near Mainesburg, PA",31.4838,02050104,41.790907,-77.014688,PA,1337.05,"c(1556124.3107, 2243476.8174)"
01539000,0.30164819746384525,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Fishing Creek near Bloomsburg, PA",701.7795,02050107,41.078141,-76.431056,PA,543.84,"c(1619605.8865, 2175084.2697)"
01542810,0.4361831953962363,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,KANAWHA,"Waldy Run near Emporium, PA",13.6242,02050202,41.578952,-78.292512,PA,1263.62,"c(1457041.2756, 2199940.7922)"
01543000,0.3245153107628364,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,KANAWHA,"Driftwood Br Sinnemahoning Cr at Sterling Run, PA",705.4974,02050202,41.413396,-78.196952,PA,894.84,"c(1468263.3415, 2183204.367)"
01543500,0.2942940421470273,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Sinnemahoning Creek at Sinnemahoning, PA",1778.258,02050202,41.317285,-78.10306,PA,769.36,"c(1477929.5222, 2174090.5307)"
01544500,0.2568071953997627,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Kettle Creek at Cross Fork, PA",355.0644,02050203,41.475899,-77.825825,PA,1027.12,"c(1497171.2271, 2195865.7562)"
01545600,0.21084158253121066,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Young Womans Creek near Renovo, PA",119.9975,02050203,41.389512,-77.690819,PA,780.41,"c(1510006.8813, 2188509.9509)"
01547700,0.32676600755926277,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Marsh Creek at Blanchard, PA",113.5386,02050204,41.059509,-77.605826,PA,586.16,"c(1524035.1377, 2153608.922)"
01548500,0.2520139311938925,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Pine Creek at Cedar Run, PA",1557.047,02050205,41.521736,-77.44748,PA,780.36,"c(1526950.9439, 2206920.2648)"
01549500,0.3404167771887439,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Blockhouse Creek near English Center, PA",97.4853,02050205,41.473683,-77.230809,PA,1041.85,"c(1545608.0665, 2205148.0563)"
01550000,0.3307493708755056,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Lycoming Creek near Trout Run, PA",452.6757,02050206,41.41841,-77.032746,PA,693.95,"c(1562928.807, 2202322.1734)"
01552000,0.33466408187162305,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Loyalsock Creek at Loyalsockville, PA",1129.486,02050206,41.325078,-76.912464,PA,586.33,"c(1574791.2779, 2194069.3386)"
01552500,0.39671737534824486,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,ALLEGHENY MOUNTAIN,"Muncy Creek near Sonestown, PA",60.6384,02050206,41.357024,-76.534671,PA,1025.01,"c(1604800.4264, 2203892.1054)"
01557500,0.2907334759143809,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bald Eagle Creek at Tyrone, PA",115.2963,02050302,40.683673,-78.233624,PA,921.8,"c(1480460.2954, 2102356.0775)"
01564500,0.38075344132669653,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Aughwick Creek near Three Springs, PA",445.5612,02050304,40.212581,-77.925276,PA,618.65,"c(1515823.1468, 2055381.4887)"
01567500,0.3672236738126031,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bixler Run near Loysville, PA",38.7729,02050305,40.370916,-77.402209,PA,601.22,"c(1555687.2091, 2081243.4054)"
