gauge_id,q_mean,runoff_ratio,slope_fdc,baseflow_index,stream_elas,q5,q95,high_q_freq,high_q_dur,low_q_freq,low_q_dur,zero_q_freq,hfd_mean,STANAME,CLASS,AGGECOREGI,DRAIN_SQKM,HUC02,LAT_GAGE,LNG_GAGE,STATE,HCDN_2009,ACTIVE09,FLYRS1900,FLYRS1950,FLYRS1990,OBJECTID,Join_Count,TARGET_FID,AREA,PERIMETER,PHYSIODD_,PHYSIODD_I,FCODE,FENCODE,DIVISION,PROVINCE,SECTION,PROVCODE,geometry
01350000,2.10751838898456,0.544607098819415,1.63109206304951,0.454634129444089,1.56426437459043,0.0918699083241456,7.18981891232444,11.35,1.89166666666667,95.65,16.2118644067797,0,160.2,SCHOHARIE CREEK AT PRATTSVILLE NY,Ref,NorthEast,612.5148,02,42.319528,-74.436537,NY,yes,yes,102,60,20,22,1,22,0.533,3.365,154,13,82,8b,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,CATSKILL,8,"c(1750722.8199, 2346128.7399)"
01350080,1.53457849767968,0.439351612145991,1.9015959869947,0.492301447944427,1.33865966132431,0.0700355595099847,5.07174176784804,9.05,1.96739130434783,106.7,19.5779816513761,0,169.55,MANOR KILL AT WEST CONESVILLE NEAR GILBOA NY,Ref,NorthEast,83.8404,02,42.377026,-74.412924,NY,yes,yes,23,23,20,24,1,24,7.84,23.26,148,165,83,8c,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,SOUTHERN NEW YORK,8,"c(1751159.0087, 2352827.8854)"
01350140,1.49965270356878,0.428298151238039,1.84146846876653,0.459146755035003,1.1792267411951,0.0335453685404314,5.14362317619949,11.1,2.07476635514019,107.2,13.2345679012346,0,166.45,MINE KILL NEAR NORTH BLENHEIM NY,Ref,NorthEast,43.7598,02,42.428968,-74.472925,NY,yes,yes,34,34,20,27,1,27,7.84,23.26,148,165,83,8c,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,SOUTHERN NEW YORK,8,"c(1745071.0757, 2357382.886)"
01365000,2.71921109259339,0.64567313638997,1.56080308910702,0.554875052263605,1.30994604639525,0.270285537823007,8.00536620206686,5.3,1.55882352941176,47.6,10.8181818181818,0,165.75,RONDOUT CREEK NEAR LOWES CORNERS NY,Ref,NorthEast,99.5688,02,41.866482,-74.4871,NY,yes,yes,72,60,20,47,1,47,7.84,23.26,148,165,83,8c,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,SOUTHERN NEW YORK,8,"c(1758061.3812, 2295818.0356)"
01413500,1.95934007072571,0.511237169194687,1.79048501279787,0.530017057050457,1.21259553238624,0.132683889525165,5.99961935244224,5.5,2.07547169811321,70,17.2839506172839,0,162.5,EAST BR DELAWARE R AT MARGARETVILLE NY,Ref,NorthEast,424.1025,02,42.14481,-74.653489,NY,yes,yes,72,60,20,59,1,59,0.533,3.365,154,13,82,8b,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,CATSKILL,8,"c(1737759.4938, 2323103.7513)"
01414500,2.23957781138062,0.562712057263301,1.74636303392218,0.530299153727381,1.16106306057331,0.163231572472612,6.71147488678085,5.45,1.703125,59.55,13.0879120879121,0,159.65,MILL BROOK NEAR DUNRAVEN NY,Ref,NorthEast,64.4517,02,42.106199,-74.730435,NY,yes,yes,72,60,20,61,1,61,0.533,3.365,154,13,82,8b,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,CATSKILL,8,"c(1732559.1466, 2317488.4571)"
01415000,1.80987808224174,0.479676467756593,1.76999137430032,0.509840195556551,1.26266956273992,0.102857315940391,5.65715237672151,5.6,1.93103448275862,76.35,11.5681818181818,0,160.85,TREMPER KILL NEAR ANDES NY,Ref,NorthEast,85.6287,02,42.120087,-74.818493,NY,yes,yes,72,60,20,62,1,62,0.533,3.365,154,13,82,8b,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,CATSKILL,8,"c(1725162.2748, 2317401.2757)"
01423000,1.84068784696944,0.496978105834379,1.80698622111887,0.522809848365314,1.47967486676758,0.105298826523015,5.74874674531055,5.15,1.90740740740741,78.65,18.0804597701149,0,162.2,WEST BRANCH DELAWARE RIVER AT WALTON NY,Ref,NorthEast,859.6809,02,42.166196,-75.139891,NY,yes,yes,59,59,20,80,1,80,0.533,3.365,154,13,82,8b,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,CATSKILL,8,"c(1698287.6479, 2316643.6223)"
01434025,2.81643958208618,0.634761838781561,1.3568833751885,0.493758123801482,0.738849584355461,0.24465755455488,9.08007418966565,8.3,1.41880341880342,51.65,9.93269230769231,0,163.85,BISCUIT BK ABOVE PIGEON BK AT FROST VALLEY NY,Ref,NorthEast,9.7002,02,41.99537,-74.500987,NY,yes,yes,26,26,20,103,1,103,0.533,3.365,154,13,82,8b,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,CATSKILL,8,"c(1753711.7717, 2309612.7256)"
01435000,2.96731545763314,0.687251847880788,1.31835989211088,0.540275165102473,1.2464842534082,0.38303107810401,8.71041044280972,6.15,1.41379310344828,39.3,11.3913043478261,0,165.3,NEVERSINK RIVER NEAR CLARYVILLE NY,Ref,NorthEast,172.458,02,41.890092,-74.589879,NY,yes,yes,68,58,20,105,1,105,7.84,23.26,148,165,83,8c,APPALACHIAN HIGHLANDS,APPALACHIAN PLATEAUS,SOUTHERN NEW YORK,8,"c(1749215.0092, 2296495.8002)"
