site_no,Year,Flashiness,DIVISION,PROVINCE,SECTION,station_nm,DRAIN_SQKM,huc_cd,LAT_GAGE,LNG_GAGE,STATE,alt_va,geometry
01439500,1981,0.2187313378486636,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bush Kill at Shoemakers, PA",305.8776,02040104,41.088151,-75.037675,PA,421.13,"c(1732869.836, 2200757.1598)"
01439500,1982,0.16940048515652073,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bush Kill at Shoemakers, PA",305.8776,02040104,41.088151,-75.037675,PA,421.13,"c(1732869.836, 2200757.1598)"
01439500,1983,0.21019636682431317,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bush Kill at Shoemakers, PA",305.8776,02040104,41.088151,-75.037675,PA,421.13,"c(1732869.836, 2200757.1598)"
01439500,1984,0.22004154269353843,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bush Kill at Shoemakers, PA",305.8776,02040104,41.088151,-75.037675,PA,421.13,"c(1732869.836, 2200757.1598)"
01439500,1985,0.17477934882073384,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bush Kill at Shoemakers, PA",305.8776,02040104,41.088151,-75.037675,PA,421.13,"c(1732869.836, 2200757.1598)"
01439500,1986,0.1940649136221092,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bush Kill at Shoemakers, PA",305.8776,02040104,41.088151,-75.037675,PA,421.13,"c(1732869.836, 2200757.1598)"
01439500,1987,0.2096570757106974,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bush Kill at Shoemakers, PA",305.8776,02040104,41.088151,-75.037675,PA,421.13,"c(1732869.836, 2200757.1598)"
01439500,1988,0.16485606127299937,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bush Kill at Shoemakers, PA",305.8776,02040104,41.088151,-75.037675,PA,421.13,"c(1732869.836, 2200757.1598)"
01439500,1989,0.19880722184804572,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bush Kill at Shoemakers, PA",305.8776,02040104,41.088151,-75.037675,PA,421.13,"c(1732869.836, 2200757.1598)"
01439500,1990,0.19548113970413356,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bush Kill at Shoemakers, PA",305.8776,02040104,41.088151,-75.037675,PA,421.13,"c(1732869.836, 2200757.1598)"
01439500,1991,0.15498418102686815,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bush Kill at Shoemakers, PA",305.8776,02040104,41.088151,-75.037675,PA,421.13,"c(1732869.836, 2200757.1598)"
01439500,1992,0.18574972473169632,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bush Kill at Shoemakers, PA",305.8776,02040104,41.088151,-75.037675,PA,421.13,"c(1732869.836, 2200757.1598)"
01439500,1993,0.19496230979520165,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bush Kill at Shoemakers, PA",305.8776,02040104,41.088151,-75.037675,PA,421.13,"c(1732869.836, 2200757.1598)"
01439500,1994,0.15844359623063972,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bush Kill at Shoemakers, PA",305.8776,02040104,41.088151,-75.037675,PA,421.13,"c(1732869.836, 2200757.1598)"
01439500,1995,0.16643736864852737,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bush Kill at Shoemakers, PA",305.8776,02040104,41.088151,-75.037675,PA,421.13,"c(1732869.836, 2200757.1598)"
01439500,1996,0.2574874124659992,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bush Kill at Shoemakers, PA",305.8776,02040104,41.088151,-75.037675,PA,421.13,"c(1732869.836, 2200757.1598)"
01439500,1997,0.11923456869407871,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bush Kill at Shoemakers, PA",305.8776,02040104,41.088151,-75.037675,PA,421.13,"c(1732869.836, 2200757.1598)"
01439500,1998,0.16562238740571908,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bush Kill at Shoemakers, PA",305.8776,02040104,41.088151,-75.037675,PA,421.13,"c(1732869.836, 2200757.1598)"
01439500,1999,0.1665590603001126,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bush Kill at Shoemakers, PA",305.8776,02040104,41.088151,-75.037675,PA,421.13,"c(1732869.836, 2200757.1598)"
01439500,2000,0.15486894724776484,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bush Kill at Shoemakers, PA",305.8776,02040104,41.088151,-75.037675,PA,421.13,"c(1732869.836, 2200757.1598)"
01439500,2001,0.14553485093737492,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bush Kill at Shoemakers, PA",305.8776,02040104,41.088151,-75.037675,PA,421.13,"c(1732869.836, 2200757.1598)"
01439500,2002,0.18106024881011504,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bush Kill at Shoemakers, PA",305.8776,02040104,41.088151,-75.037675,PA,421.13,"c(1732869.836, 2200757.1598)"
01439500,2003,0.2070916508815387,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bush Kill at Shoemakers, PA",305.8776,02040104,41.088151,-75.037675,PA,421.13,"c(1732869.836, 2200757.1598)"
01439500,2004,0.2235240371099241,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bush Kill at Shoemakers, PA",305.8776,02040104,41.088151,-75.037675,PA,421.13,"c(1732869.836, 2200757.1598)"
01439500,2005,0.2652416730629939,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bush Kill at Shoemakers, PA",305.8776,02040104,41.088151,-75.037675,PA,421.13,"c(1732869.836, 2200757.1598)"
01439500,2006,0.21131929720095433,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bush Kill at Shoemakers, PA",305.8776,02040104,41.088151,-75.037675,PA,421.13,"c(1732869.836, 2200757.1598)"
01439500,2007,0.18757502829475062,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bush Kill at Shoemakers, PA",305.8776,02040104,41.088151,-75.037675,PA,421.13,"c(1732869.836, 2200757.1598)"
01439500,2008,0.20394433161004433,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bush Kill at Shoemakers, PA",305.8776,02040104,41.088151,-75.037675,PA,421.13,"c(1732869.836, 2200757.1598)"
01439500,2009,0.15131327087834476,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bush Kill at Shoemakers, PA",305.8776,02040104,41.088151,-75.037675,PA,421.13,"c(1732869.836, 2200757.1598)"
01439500,2010,0.20509877059691217,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,"Bush Kill at Shoemakers, PA",305.8776,02040104,41.088151,-75.037675,PA,421.13,"c(1732869.836, 2200757.1598)"
01440000,1981,0.33514730162960993,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,Flat Brook near Flatbrookville NJ,167.7204,02040104,41.106667,-74.952222,NJ,347.73,"c(1739362.7953, 2204340.9436)"
01440000,1982,0.26043579276372475,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,Flat Brook near Flatbrookville NJ,167.7204,02040104,41.106667,-74.952222,NJ,347.73,"c(1739362.7953, 2204340.9436)"
01440000,1983,0.3480697010507044,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,Flat Brook near Flatbrookville NJ,167.7204,02040104,41.106667,-74.952222,NJ,347.73,"c(1739362.7953, 2204340.9436)"
01440000,1984,0.3003974696299614,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,Flat Brook near Flatbrookville NJ,167.7204,02040104,41.106667,-74.952222,NJ,347.73,"c(1739362.7953, 2204340.9436)"
01440000,1985,0.26501667094126696,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,Flat Brook near Flatbrookville NJ,167.7204,02040104,41.106667,-74.952222,NJ,347.73,"c(1739362.7953, 2204340.9436)"
01440000,1986,0.28283205403745776,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,Flat Brook near Flatbrookville NJ,167.7204,02040104,41.106667,-74.952222,NJ,347.73,"c(1739362.7953, 2204340.9436)"
01440000,1987,0.2553399005169219,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,Flat Brook near Flatbrookville NJ,167.7204,02040104,41.106667,-74.952222,NJ,347.73,"c(1739362.7953, 2204340.9436)"
01440000,1988,0.20991379310344827,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,Flat Brook near Flatbrookville NJ,167.7204,02040104,41.106667,-74.952222,NJ,347.73,"c(1739362.7953, 2204340.9436)"
01440000,1989,0.3003209730551567,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,Flat Brook near Flatbrookville NJ,167.7204,02040104,41.106667,-74.952222,NJ,347.73,"c(1739362.7953, 2204340.9436)"
01440000,1990,0.30128791610950806,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,Flat Brook near Flatbrookville NJ,167.7204,02040104,41.106667,-74.952222,NJ,347.73,"c(1739362.7953, 2204340.9436)"
01440000,1991,0.2082872172409934,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,Flat Brook near Flatbrookville NJ,167.7204,02040104,41.106667,-74.952222,NJ,347.73,"c(1739362.7953, 2204340.9436)"
01440000,1992,0.2543562066306862,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,Flat Brook near Flatbrookville NJ,167.7204,02040104,41.106667,-74.952222,NJ,347.73,"c(1739362.7953, 2204340.9436)"
01440000,1993,0.25030668975177706,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,Flat Brook near Flatbrookville NJ,167.7204,02040104,41.106667,-74.952222,NJ,347.73,"c(1739362.7953, 2204340.9436)"
01440000,1994,0.24186260949746427,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,Flat Brook near Flatbrookville NJ,167.7204,02040104,41.106667,-74.952222,NJ,347.73,"c(1739362.7953, 2204340.9436)"
01440000,1995,0.24311972756346736,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,Flat Brook near Flatbrookville NJ,167.7204,02040104,41.106667,-74.952222,NJ,347.73,"c(1739362.7953, 2204340.9436)"
01440000,1996,0.34863843312430204,APPALACHIAN HIGHLANDS,VALLEY AND RIDGE,MIDDLE,Flat Brook near Flatbrookville NJ,167.7204,02040104,41.106667,-74.952222,NJ,347.73,"c(1739362.7953, 2204340.9436)"
